Team,Total Points For,Total Points Against,League
SOTBD,406.56,295.87,The Only Legitimate LTS Bowl League - L3
ctjoumas,398.18,327.41,LTS Bowl - L1
Crotch Crickets,391.09,249.49,LTS Bowl - L2
The WOKE FAAB,390.74,327.96,The Only Legitimate LTS Bowl League - L3
York Mobile Detailing,373.57,301.36,LTS Bowl - L4
West Coast Aunt,369.56,274.33,LTS Bowl - L4
fromcutstobytes,367.81,283.77,LTS Bowl - L1
Chiotan Deck,366.44,303.65999999999997,LTS Bowl - L4
Poop on the Cob,364.78,327.7,LTS Bowl - L4
The Huge Mistaeks,361.56,309.3,LTS Bowl - L2
johnnysmomskid,355.74,355.88,The Only Legitimate LTS Bowl League - L3
Charity Cases,354.09,334.19,LTS Bowl - L4
Turd Ferguson,353,345.27,The Only Legitimate LTS Bowl League - L3
Mr. High Tea,352.11,309.45,LTS Bowl - L1
Natanab,350.97,321.85,LTS Bowl - L2
"Your Mother, Actually….",348.11,330.12,LTS Bowl - L2
Horsey Sauce,347.99,303.72,LTS Bowl - L1
Speaks Kindly Holds Knife,345.99,361.56,The Only Legitimate LTS Bowl League - L3
The New Age Process,342.06,220.26,LTS Bowl - L4
Egg Chasers,336.66999999999996,337.18,The Only Legitimate LTS Bowl League - L3
Vandelay Industries,330.31,342.06,LTS Bowl - L2
Weagle85,323.02,331.14,LTS Bowl - L1
Dr. Poop Show,322.08,323.99,LTS Bowl - L2
Not Sure,321.92,390.24,LTS Bowl - L1
fantasyscott,321.75,287.33000000000004,LTS Bowl - L1
DeadEndFriends,321.4,303.93,LTS Bowl - L2
Chillin Like a McMillan,319.47999999999996,325.20000000000005,LTS Bowl - L1
Byronchenko,318.24,312.24,LTS Bowl - L2
aspires,317.37,251.53,LTS Bowl - L2
Not Great Bob,317.19,312.42,LTS Bowl - L1
caemeron,315.67999999999995,281.73,The Only Legitimate LTS Bowl League - L3
SycamoreFlynns,311.52,311.85,The Only Legitimate LTS Bowl League - L3
Fozberry64,301.26,365.86,LTS Bowl - L1
Bad Faith Bad Fantasy,299.25,360.19,LTS Bowl - L1
The Lib Owners,298.07,374.03,LTS Bowl - L4
SLOPPY STEAKS,287.92,284.82,LTS Bowl - L4
Becoming an LTS Bowl Bro,284.26,357.49,LTS Bowl - L1
Randomizer Intern Program,284.07,405.62,LTS Bowl - L2
outshine13,283.58,353.78,LTS Bowl - L4
All roads,283.01,396.41,LTS Bowl - L2
WilhelmTilt,282.86,232.63,The Only Legitimate LTS Bowl League - L3
Trailing Daler,280.26,315.83,LTS Bowl - L4
Shake and Bake,278.9,444.91,LTS Bowl - L4
Greenhorns,278.38,385.28,The Only Legitimate LTS Bowl League - L3
39ers,275.73,340.33,The Only Legitimate LTS Bowl League - L3
Trailer Park Pimpin',273.93,338.28999999999996,LTS Bowl - L4
AJ's Animals ,273.7,355.37,LTS Bowl - L2
Closet Poopers,243.07,320.4,The Only Legitimate LTS Bowl League - L3
